Key,Source,Context,Changes,English,French,German,Klingon,Spanish,Polish
liquidWater_terrLiquidStone,,,,Liquid Stone,,,,,
liquidWater_terrLiquidStoneDesc,,,,A stone block that spreads out and then turns into water.,,,,,
liquidWater_terrLiquidStoneStatic,,,,Liquid Stone Static,,,,,
liquidWater_terrLiquidStoneStaticDesc,,,,A stone block that turns into water.,,,,,
liquidWater_waterLiquidPOI,,,,Liquid Water POI,,,,,
liquidWater_waterLiquidPOIDesc,,,,Spreading Water Block (POI),,,,,
liquidWater_waterLiquid,,,,Liquid Water,,,,,
liquidWater_waterLiquidDesc,,,,Spreading Water Block,,,,,
liquidWater_bucketEmptyLiquidWater,items,Item,KgNone,Pool Sized Bucket,,,,,
liquidWater_bucketEmptyLiquidWaterDesc,items,Item,KgNone,A bucket that fills with so much water that it can fill a pool!,,,,,
liquidWater_bucketLiquidWater,items,Item,KgNone,Full Pool Sized Bucket,,,,,
liquidWater_bucketLiquidWaterDesc,items,Item,KgNone,Enough water to fill a pool!,,,,,
